Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Barbados,BRB,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,1100,..,..,..,..,..,..,..,..,..,..,..,..,..,742,..,..,..,..,..,..,..,..,..,816,..,..,..,..,..,..,..,..,..,872,..,..,..,..,..,..,..,..,..,927,..,..,..,..,..,..
Belarus,BLR,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,164729,..,..,..,..,..,..,..,..,..,32808,..,..,..,..,..,..,..,..,..,30748,..,..,..,..,..,..,..,..,19131,..,..
Belgium,BEL,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32202,..,..,..,..,..,..,..,..,33851,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,1668156,..,..,..,..,..,..,..,..,..,..,..,..,2093056,..,..,..,..,..,..,..,..,..,2602725,..,..,..,3234195,..,..,..,..,..,3660219,..,..,..,..,..,3809789,..,..
Bermuda,BMU,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,198973,..,..,..,..,..,..,215992,..,..,..,..,183115,..,..,..
Bolivia,BOL,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,1099510,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,857306,..,..,..,..,..,..,..,..,705429,..,..,..,..,..,553134,573240,559509,..,516144,379585,..,..,547921,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,368044,..,..,..,..,..,..,..,..,100361,..,..,..,..,..,..,..,..,..,..,57525,..,90374,..,..,..,..,..,..,..
Botswana,BWA,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,231492,..,..,..,..,..,..,..,..,..,..,..,204982,..,..,..,..,..,..,..,..,..,176911,..,..,..,..,..,..,..
Brazil,BRA,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..,18951748,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16695339,..,..,..,15114203,..,14304987,14000382,14195160,14048574,14159037,12845899,13158412,13132993,12945696,12622804,11564289,11276037,11167773,..,..
British Virgin Islands,VGB,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..,..,27301,..,..,..,..,..,..,..,..,..,21307,..,..,..,..,..,..,..,..,..,17406,..,..,..,..,..,..,..,..,..,11473,..,..,..,..,..,..,9199,..,..
Bulgaria,BGR,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,120855,..,..,..,..,..,..,..,..,..,104968,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,3131400,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4117469,..,..,..,..,4769685,..,..,..,..,..,..,5263915,..,5478590,5713984,5451046,..,..,..,..,..,..,6191338,..,..,..,6390995,..,..
Burundi,BDI,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,1731927,..,..,..,..,..,..,..,..,..,..,1771478,..,..,..,..,..,..,..,..,..,1289593,..,..,..,..,..,..,..,2294756,..,..,..,..,..,2043921,..,..,1851198,..,..,..
Cabo Verde,CPV,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67857,..,..,..,..,..,..,..,..,..,58342,..,..,..,..,..,..,..,..,..,..,..,50582,..,..,48284,..,..,..,..,..
Cambodia,KHM,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2093872,..,..,..,..,..,2130517,..,..,..,2097757,2221554,..,..,..,..,2290614,2067118,..,..,..,..,..
Cameroon,CMR,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,2515247,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2656865,..,..,..,..,..,..,3051220,..,..,3264065,..,..,..,..,..,..,..,3316943,..,..
Canada,CAN,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Caribbean small states,CSS,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,562655,567913,564319,561673,559002,550831,569619,542468,535916,529665,523562,517204,509181,507111,484629,478231,474139,467449,462999,467550,469727,465607,465902,..,..,..,..,..
Cayman Islands,CYM,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,471,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,925180,..,..,..,..,..,..,..,..,..,..,..,..,1011119,..,..,..,..,..,..,..,..,..,..,..,1020176,..,..,..,..,..,..,..,..,..,1539982,..,..,..,..,..,..,..,1627354,..,..
