Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Bahrain,BHR,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,58.59109,..,..,..,..,..,..,..,..,..,76.93232,..,..,..,..,..,..,..,..,..,83.55742,..,..,..,..,..,..,..,..,89.01044,..,..,..,..,..,94.28152,94.70737,94.94888,..,..
Bangladesh,BGD,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,17.97163,..,..,..,..,..,..,..,..,..,25.83898,..,..,..,..,..,..,..,..,..,40.82335,..,..,..,..,..,43.74085,..,..,..,55.11944,54.23604,57.789,57.86093,62.25299,69.89721,70.0857,71.18194,71.94839,..
Barbados,BRB,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,99.25156,..,..,..,..,..,..,..,..,..,..,..,..,..,99.6,..,..,..,..,..,..,..,..,..,99.6,..,..,..,..,..,..,..,..,..,99.6,..,..,..,..,..,..,..,..,..,99.6,..,..,..,..,..,..
Belarus,BLR,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.62822,..,..,..,..,..,..,..,..,..,99.41972,..,..,..,..,..,..,..,..,..,99.49399,..,..,..,..,..,..,..,..,99.72518,..,..
Belgium,BEL,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.32839,..,..,..,..,..,..,..,..,77.12273,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,9.53896,..,..,..,..,..,..,..,..,..,..,..,..,16.56512,..,..,..,..,..,..,..,..,..,23.30014,..,..,..,18.44291,..,..,..,..,..,22.09388,..,..,..,..,..,31.07165,..,..
Bermuda,BMU,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.68066,..,..,..,..,..,..,45.20451,..,..,..,..,57.08362,..,..,..
Bolivia,BOL,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,51.37465,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.31322,..,..,..,..,..,..,..,..,80.65438,..,..,..,..,..,85.98594,86.83175,86.82146,..,88.0802,91.87327,..,..,88.58286,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.95933,..,..,..,..,..,..,..,..,94.35994,..,..,..,..,..,..,..,..,..,..,96.80371,..,94.91049,..,..,..,..,..,..,..
Botswana,BWA,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.29924,..,..,..,..,..,..,..,..,..,..,..,81.80795,..,..,..,..,..,..,..,..,..,87.45121,..,..,..,..,..,..,..
Brazil,BRA,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,72.85315,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.50005,..,..,..,88.80613,..,89.85559,90.22801,90.21955,90.41122,90.6817,91.63315,91.6249,91.76496,92.06052,92.34379,93.0212,93.24371,93.42507,..,..
British Virgin Islands,VGB,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,68.84183,..,..,..,..,..,..,..,..,..,82.46136,..,..,..,..,..,..,..,..,..,90.16155,..,..,..,..,..,..,..,..,..,94.65248,..,..,..,..,..,..,96.30126,..,..
Bulgaria,BGR,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.70649,..,..,..,..,..,..,..,..,..,97.9839,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,3.39059,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.22543,..,..,..,..,8.05798,..,..,..,..,..,..,15.18877,..,16.62224,16.29113,21.02722,..,..,..,..,..,..,26.22025,..,..,..,32.68762,..,..
Burundi,BDI,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,11.98357,..,..,..,..,..,..,..,..,..,..,27.5293,..,..,..,..,..,..,..,..,..,52.23776,..,..,..,..,..,..,..,43.15719,..,..,..,..,..,54.64166,..,..,61.22369,..,..,..
Cabo Verde,CPV,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.99862,..,..,..,..,..,..,..,..,..,69.44456,..,..,..,..,..,..,..,..,..,..,..,80.49622,..,..,82.04222,..,..,..,..,..
Cambodia,KHM,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.9925,..,..,..,..,..,64.05099,..,..,..,69.58641,69.10902,..,..,..,..,71.7818,75.03387,..,..,..,..,..
Cameroon,CMR,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,29.11613,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.72176,..,..,..,..,..,..,63.02206,..,..,64.7995,..,..,..,..,..,..,..,71.58627,..,..
Canada,CAN,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Caribbean small states,CSS,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.4725,88.5249,88.7929,89.03582,89.27843,89.63451,89.42998,90.13998,90.4184,90.68519,90.94239,91.19782,91.46085,91.63209,92.30979,92.55767,92.76846,92.99177,93.14991,93.03949,92.81675,92.95473,93.06014,..,..,..,..,..
Cayman Islands,CYM,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.02148,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,8.39958,..,..,..,..,..,..,..,..,..,..,..,..,20.33688,..,..,..,..,..,..,..,..,..,..,..,35.2909,..,..,..,..,..,..,..,..,..,24.35549,..,..,..,..,..,..,..,25.75638,..,..
Central Europe and the Baltics,CEB,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,97.04856,97.07809,97.10583,97.15141,97.1909,97.22532,97.27501,97.15119,97.23714,97.3279,97.40701,97.48421,97.54999,97.62305,97.69566,97.76028,97.82648,97.96174,97.89974,97.9484,97.99531,98.04926,98.08082,98.12267,98.16443,98.18444,98.21891,98.27497,98.54787,98.57723,98.60457,98.62471,98.64154,98.66187,98.68085,98.70232,..,..,..,..
Chad,TCD,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.59183,..,..,..,..,..,..,12.79642,..,..,..,17.98058,..,..,..,..,..,..,..,..,..,..,13.93341,13.95523,..,..,..,..
Channel Islands,CHI,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,90.80012,..,..,..,..,..,..,..,..,..,94.03671,..,..,..,..,..,..,..,..,..,95.64093,..,..,..,..,..,97.74206,97.40083,96.64921,96.53071,..,96.16175,..,96.74396,..,96.33402,..,..,..
China,CHN,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,51.13681,..,..,..,..,..,..,..,68.07208,..,..,..,..,..,..,..,..,..,86.5266,..,..,..,..,..,..,..,..,..,92.71123,..,..,..,..,..,..,..,95.15933,..,..
Colombia,COL,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.1479,..,..,91.314,..,..,..,..,..,..,..,92.71463,92.91125,92.2206,92.84562,93.43537,93.41513,93.48679,93.66713,..,..,94.48466,94.41582,94.89022,..,95.31892,..,..
Comoros,COM,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,40.31762,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.45902,..,..,..,..,..,..,..,..,..,..,..,42.63729,..,..,..,..,..,52.95639,..,..
"Congo, Dem. Rep.",COD,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.0609,..,..,..,..,..,46.10425,..,..,..,..,62.91864,..,..,..,66.49998,..,..,..,..
"Congo, Rep.",COG,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.00134,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.48077,..,..,..,..,..,72.87706,..,..,..,..,..,..,74.61876,..,..
Costa Rica,CRI,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92.57713,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.08079,..,..,..,..,..,..,..,..,..,..,97.50041,..,..,..,..,..,..,97.92443,..,..
