Year,Completion Rate for upper secondary Edu,Childhood Education GER,"Gross enrolment ratio, early childhood educational development programmes",Literacy rate for 25-64 years old,Expenditure on education as a percentage of total government expenditure (%),Government expenditure on education as a percentage of GDP (%),Central Asia,Central and Southern Asia,Eastern and South-Eastern Asia,Europe and Northern America,Latin America and the Caribbean,Northern Africa and Western Asia,Oceania,Southern Asia,Sub-Saharan Africa,Gender_numerical
2018,66.8,47.34855833333333,0.0,68.735,18.1,5.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2018,83.5,47.34855833333333,0.0,68.735,18.1,5.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019,68.0,47.34855833333333,0.0,68.735,18.23,5.59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2019,84.3,47.34855833333333,0.0,68.735,18.23,5.59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,69.0,47.34855833333333,0.0,68.735,18.95,5.96,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020,84.9,47.34855833333333,0.0,68.735,18.95,5.96,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2012,95.5,47.34855833333333,5.87166237113402,68.735,20.8,3.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2012,92.3,47.34855833333333,5.87166237113402,68.735,20.8,3.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2013,95.6,47.34855833333333,5.87166237113402,68.735,14.978080536912753,4.11353982300885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2013,92.4,47.34855833333333,5.87166237113402,68.735,14.978080536912753,4.11353982300885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2014,95.7,47.34855833333333,5.87166237113402,68.735,14.978080536912753,4.11353982300885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2014,92.4,47.34855833333333,5.87166237113402,68.735,14.978080536912753,4.11353982300885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2015,96.86,47.34855833333333,5.87166237113402,68.735,14.978080536912753,4.11353982300885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2015,94.13,47.34855833333333,5.87166237113402,68.735,14.978080536912753,4.11353982300885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
