Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Barbados,BRB,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5794,5464,5460,5981,5881,5901,6132,6383,6138,..,..,5814,5620,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,305075,310098,315225,317196,319399,326190,339055,356159,368414,383115,393355,399495,399914,409625,418833,..,..
Belgium,BEL,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,399443,400421,400805,401034,401975,399437,412041,411712,411951,416891,424853,434262,444960,452309,..,..,..,..,..,552965,..,..
Belize,BLZ,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3634,3685,3714,..,3773,3765,4412,4861,4983,5801,6034,6596,6739,7116,7400,7501,7505,7618,7461,7349,7485,..
Benin,BEN,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17891,27748,25010,23395,24745,..,..,..,..,..,..,97333,109449,111621,119138,128703,151732,160448,..,172424,169011,..
Bermuda,BMU,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,391,430,397,397,..,..,..,357,341,421,389,395,440,..,..,..,..,..
Bhutan,BTN,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,357,286,358,..,..,..,526,416,..,215,294,363,659,1520,2586,3835,4896,5894,7125,7250,8499,..,8025
Bolivia,BOL,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,201991,207789,215602,218237,222313,223177,235607,241293,241312,237957,229878,220640,225399,258121,280057,297503,317256,331285,348432,349876,353898,..,..
Bosnia and Herzegovina,BIH,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18817,19880,21490,22901,24918,25889,28511,..
Botswana,BWA,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21086,22387,21196,24489,24433,..,..,23650,..,..,33425,..,..,..,..,..
